socd030,dem,plancur,procur,mrrtf,twi
3.9557,212,2.01E-06,2.68E-06,4.81505,12.6173
3.856553,192,-2.07E-06,-1.13E-06,4.40225,11.7621
17.46135,247,8.30E-08,-3.22E-06,4.59585,11.4238
9.569328,256,0.000004095,4.18E-06,4.72462,11.4718
10.882006,174,1.67E-06,-4.99E-07,1.92997,12.0083
8.340954,162,-3.81E-07,1.73E-06,3.39827,12.7848
9.203199,210,1.29E-06,3.02E-06,3.81445,11.784
8.553062,146,5.06E-07,4.25E-07,3.82595,13.3797
6.588805,141,-1.99E-06,-9.76E-07,4.86863,11.0614
5.334647,171,4.14E-07,1.03E-06,3.84669,13.2821
7.046488,171,-6.94E-07,-6.16E-07,2.75124,12.9163
5.462186,199,-5.73E-07,-1.51E-07,5.04444,12.7655
4.598858,139,3.91E-07,-4.66E-08,3.52193,13.3536
4.692094,226,-8.93E-07,-6.24E-07,4.58248,12.2467
6.45537,196,4.15E-06,2.16E-06,5.14381,12.4843
6.269128,194,-3.38E-07,6.14E-07,5.04471,11.8106
2.723415,140,1.13E-06,1.11E-06,3.06288,13.0206
4.630466,156,1.31E-07,1.10E-07,4.38208,13.261
6.385896,148,-9.11E-08,-2.19E-07,1.94362,13.6546
4.713906,136,-5.81E-07,-2.46E-07,0.231636,12.847
6.328975,239,7.92E-07,-1.48E-06,4.96418,11.9322
27.49031,369,-4.08E-06,-4.03E-06,5.83638,11.604
10.250228,139,-9.66E-08,-6.89E-09,0.54248,13.4018
6.352192,148,1.37E-07,2.08E-07,2.26227,13.3315
7.313946,149,3.25E-08,-3.25E-08,4.17954,13.3162
5.168691,145,-2.77E-06,1.21E-08,0.413387,12.3024
2.82803,119,-2.13E-06,-2.49E-06,0.339881,12.1655
9.663043,138,4.92E-07,-2.63E-06,0.0380899,12.1688
2.467586,170,2.55E-07,5.23E-06,4.69676,11.7859
2.747778,140,-5.21E-07,2.45E-07,1.19924,11.7813
15.668354,354,-3.80E-06,-2.58E-06,5.82017,11.6625
10.27043,156,2.43E-07,3.44E-07,0.238513,12.8299
7.855688,247,8.30E-08,-3.22E-06,4.59585,11.4238
8.269154,147,-3.66E-07,-5.65E-07,2.20733,13.3249
9.520461,280,1.08E-06,-2.21E-07,4.06411,11.3749
9.604827,149,3.25E-08,-3.25E-08,4.17954,13.3162
9.978927,150,-5.98E-07,-3.34E-07,3.50178,13.5893
6.742633,149,3.25E-08,-3.25E-08,4.17954,13.3162
6.037441,143,-4.12E-07,-2.77E-07,0.0552397,13.3483
7.661523,141,-3.26E-07,2.22E-07,0.156074,13.3746
5.632332,140,4.79E-07,9.35E-07,3.11484,12.9629
5.24636,183,-6.20E-07,1.59E-06,5.14748,12.1734
5.590879,138,2.53E-07,-2.18E-07,0.339408,13.3214
7.227158,140,-1.53E-07,-6.06E-07,0.79936,13.3992
3.610472,147,2.48E-07,9.65E-08,1.15871,13.6941
2.037336,141,-3.66E-07,-4.96E-07,2.40624,13.6558
4.070117,181,-8.44E-07,-8.11E-07,4.76493,12.636
3.239979,140,4.39E-07,4.34E-08,0.628597,13.4368
9.527116,230,-9.09E-07,-1.33E-06,4.84418,11.6867
6.601761,212,-4.94E-08,7.74E-07,4.33478,12.6657
5.498997,133,-1.07E-06,-2.55E-06,0.576832,12.3986
5.578294,157,1.03E-08,2.42E-08,2.66068,13.6167
6.324522,138,-4.82E-08,-4.33E-06,0.0159182,13.588
2.616075,153,-1.61E-07,1.61E-07,4.07928,13.2457
1.914553,153,-1.33E-07,-2.07E-06,2.36445,11.7076
2.931164,143,-1.63E-07,1.28E-07,3.56575,12.9044
2.946892,141,5.76E-07,5.28E-07,3.17824,13.0226
